Algorithm 1	Algorithm 2	Alpha	K-Value	A2A Score	CVG (1 -> 2)	CVG (2 -> 1)
ARC	Limbo	0.4	31	83.04347826	0	0
ARC	ACDC	0.4	31	79.78883861	0.032258065	0.25
ARC	WCA	0.6	31	82.89855072	0	0
ARC	Limbo	0.6	31	83.1884058	0	0
ARC	ACDC	0.6	31	79.63800905	0.032258065	0.25
ARC	WCA	0.8	31	82.89855072	0	0
ARC	Limbo	0.8	31	83.1884058	0	0
ARC	ACDC	0.8	31	79.63800905	0.032258065	0.25
WCA	Limbo	N/A	32	82.22543353	0.03125	0.03125
WCA	ACDC	N/A	32	85.69277108	0.03125	0.25
Limbo	ACDC	N/A	32	78.46385542	0	0
ARC	WCA	0.2	32	84.68208092	0.03125	0.03125
ARC	Limbo	0.2	32	82.65895954	0	0
ARC	ACDC	0.2	32	79.81927711	0	0
ARC	WCA	0.4	32	83.38150289	0	0
ARC	Limbo	0.4	32	83.09248555	0	0
ARC	ACDC	0.4	32	79.51807229	0.03125	0.25
ARC	WCA	0.6	32	83.09248555	0	0
ARC	Limbo	0.6	32	83.23699422	0	0
ARC	ACDC	0.6	32	79.51807229	0.03125	0.25
ARC	WCA	0.8	32	83.09248555	0	0
ARC	Limbo	0.8	32	83.23699422	0	0
ARC	ACDC	0.8	32	79.51807229	0.03125	0.25
WCA	Limbo	N/A	33	82.27665706	0.03030303	0.03030303
WCA	ACDC	N/A	33	85.41353383	0.03030303	0.25
Limbo	ACDC	N/A	33	78.34586466	0	0
ARC	WCA	0.2	33	84.870317	0.060606061	0.060606061
ARC	Limbo	0.2	33	82.70893372	0	0
ARC	ACDC	0.2	33	79.69924812	0	0
ARC	WCA	0.4	33	83.42939481	0	0
ARC	Limbo	0.4	33	83.28530259	0	0
ARC	ACDC	0.4	33	79.09774436	0.03030303	0.25
ARC	WCA	0.6	33	83.28530259	0	0
ARC	Limbo	0.6	33	83.28530259	0	0
ARC	ACDC	0.6	33	79.39849624	0.03030303	0.25
ARC	WCA	0.8	33	83.28530259	0	0
ARC	Limbo	0.8	33	83.28530259	0	0
ARC	ACDC	0.8	33	79.39849624	0.03030303	0.25
WCA	Limbo	N/A	34	82.32758621	0.029411765	0.029411765
WCA	ACDC	N/A	34	85.28528529	0.029411765	0.25
Limbo	ACDC	N/A	34	77.92792793	0	0
ARC	WCA	0.2	34	82.90229885	0.058823529	0.058823529
ARC	Limbo	0.2	34	82.61494253	0	0
ARC	ACDC	0.2	34	77.47747748	0	0
ARC	WCA	0.4	34	83.62068966	0	0
ARC	Limbo	0.4	34	83.18965517	0	0
ARC	ACDC	0.4	34	78.97897898	0.029411765	0.25
ARC	WCA	0.6	34	83.47701149	0	0
